name	d2_type	code	type	sub_type	img_name	size_x	size_y
Battle Boots	boot	xtb	armor	boot	light_plate_boots.sprite.00.png	2	2
War Boots	boot	xhb	armor	boot	plate_boots.sprite.00.png	2	2
Wyrmhide Boots	boot	ulb	armor	boot	leather_boots.sprite.00.png	2	2
Scarabshell Boots	boot	uvb	armor	boot	heavy_boots.sprite.00.png	2	2
Boneweave Boots	boot	umb	armor	boot	chain_boots.sprite.00.png	2	2
Mirrored Boots	boot	utb	armor	boot	light_plate_boots.sprite.00.png	2	2
Myrmidon Greaves	boot	uhb	armor	boot	plate_boots.sprite.00.png	2	2
Long Siege Bow	bow	8l8	weapon	bow	long_battle_bow.sprite.00.png	2	4
Gothic Bow	bow	8lw	weapon	bow	long_war_bow.sprite.00.png	2	4
Crusader Bow	bow	6l7	weapon	bow	long_battle_bow.sprite.00.png	2	4
Hydra Bow	bow	6lw	weapon	bow	long_war_bow.sprite.00.png	2	4
Cedar Bow	bow	8lb	weapon	bow	composite_bow.sprite.00.png	2	3
Double Bow	bow	8cb	weapon	bow	composite_bow.sprite.00.png	2	3
Shadow Bow	bow	6lb	weapon	bow	long_bow.sprite.00.png	2	4
Great Bow	bow	6cb	weapon	bow	composite_bow.sprite.00.png	2	3
Short Siege Bow	bow	8s8	weapon	bow	short_war_bow.sprite.00.png	2	3
Rune Bow	bow	8sw	weapon	bow	short_battle_bow.sprite.00.png	2	3
Diamond Bow	bow	6s7	weapon	bow	short_war_bow.sprite.00.png	2	3
Ward Bow	bow	6sw	weapon	bow	short_battle_bow.sprite.00.png	2	3
Short Bow	bow	sbw	weapon	bow	short_bow.sprite.00.png	2	3
Hunter's Bow	bow	hbw	weapon	bow	hunters_bow.sprite.00.png	2	3
Long Bow	bow	lbw	weapon	bow	long_bow.sprite.00.png	2	4
Composite Bow	bow	cbw	weapon	bow	composite_bow.sprite.00.png	2	3
Short Battle Bow	bow	sbb	weapon	bow	short_battle_bow.sprite.00.png	2	3
Long Battle Bow	bow	lbb	weapon	bow	long_battle_bow.sprite.00.png	2	4
Short War Bow	bow	swb	weapon	bow	short_war_bow.sprite.00.png	2	3
Long War Bow	bow	lwb	weapon	bow	long_war_bow.sprite.00.png	2	4
Edge Bow	bow	8sb	weapon	bow	short_bow.sprite.00.png	2	3
Razor Bow	bow	8hb	weapon	bow	hunters_bow.sprite.00.png	2	3
Spider Bow	bow	6sb	weapon	bow	short_bow.sprite.00.png	2	3
Blade Bow	bow	6hb	weapon	bow	hunters_bow.sprite.00.png	2	3
Circlet	circ	ci0	armor	circlet	circlet.sprite.00.png	2	2
Coronet	circ	ci1	armor	circlet	coronet.sprite.00.png	2	2
Tiara	circ	ci2	armor	circlet	tiara.sprite.00.png	2	2
Diadem	circ	ci3	armor	circlet	diadem.sprite.00.png	2	2
Club	club	clb	weapon	club	club.sprite.00.png	1	3
Spiked Club	club	spc	weapon	club	spiked_club.sprite.00.png	1	3
Wirt's Leg	club	leg	weapon	club	wirts_leg.sprite.00.png	1	3
Cudgel	club	9cl	weapon	club	club.sprite.00.png	1	3
Barbed Club	club	9sp	weapon	club	spiked_club.sprite.00.png	1	3
Truncheon	club	7cl	weapon	club	club.sprite.00.png	1	3
Tyrant Club	club	7sp	weapon	club	spiked_club.sprite.00.png	1	3
Gloves(L)	glov	lgl	armor	glove	gloves_l.sprite.00.png	2	2
Heavy Gloves	glov	vgl	armor	glove	heavy_gloves.sprite.00.png	2	2
Bracers(M)	glov	mgl	armor	glove	bracers_m.sprite.00.png	2	2
Light Gauntlets	glov	tgl	armor	glove	light_gauntlets.sprite.00.png	2	2
Gaunlets(H)	glov	hgl	armor	glove	gaunlets_h.sprite.00.png	2	2
Demonhide Gloves	glov	xlg	armor	glove	gloves_l.sprite.00.png	2	2
Sharkskin Gloves	glov	xvg	armor	glove	heavy_gloves.sprite.00.png	2	2
Heavy Bracers	glov	xmg	armor	glove	bracers_m.sprite.00.png	2	2
Battle Gauntlets	glov	xtg	armor	glove	light_gauntlets.sprite.00.png	2	2
War Gauntlets	glov	xhg	armor	glove	gaunlets_h.sprite.00.png	2	2
Bramble Mitts	glov	ulg	armor	glove	gloves_l.sprite.00.png	2	2
Vampirebone Gloves	glov	uvg	armor	glove	heavy_gloves.sprite.00.png	2	2
Vambraces	glov	umg	armor	glove	bracers_m.sprite.00.png	2	2
Crusader Gauntlets	glov	utg	armor	glove	light_gauntlets.sprite.00.png	2	2
Ogre Gauntlets	glov	uhg	armor	glove	gaunlets_h.sprite.00.png	2	2
Hatchet Hands	h2h	axf	weapon	h2h	hatchet_hands.sprite.00.png	1	3
Cestus	h2h	ces	weapon	h2h	hatchet_hands.sprite.00.png	1	3
Fascia	h2h	9xf	weapon	h2h	hatchet_hands.sprite.00.png	1	3
Claws	h2h	clw	weapon	h2h	claws.sprite.00.png	1	3
Blade Talons	h2h	btl	weapon	h2h	claws.sprite.00.png	1	3
Katar	h2h	ktr	weapon	h2h	katar.sprite.00.png	1	3
Wrist Blade	h2h	wrb	weapon	h2h	katar.sprite.00.png	1	3
Quhab	h2h	9ar	weapon	h2h	katar.sprite.00.png	1	3
Wrist Spike	h2h	9wb	weapon	h2h	katar.sprite.00.png	1	3
Scissors Katar	h2h	skr	weapon	h2h	scissors_katar.sprite.00.png	1	3
Hand Scythe	h2h2	9cs	weapon	h2h	hatchet_hands.sprite.00.png	1	3
War Fist	h2h2	7xf	weapon	h2h	hatchet_hands.sprite.00.png	1	3
Battle Cestus	h2h2	7cs	weapon	h2h	hatchet_hands.sprite.00.png	1	3
Greater Claws	h2h2	9lw	weapon	h2h	claws.sprite.00.png	1	3
Greater Talons	h2h2	9tw	weapon	h2h	claws.sprite.00.png	1	3
Feral Claws	h2h2	7lw	weapon	h2h	claws.sprite.00.png	1	3
Runic Talons	h2h2	7tw	weapon	h2h	claws.sprite.00.png	1	3
Suwayyah	h2h2	7ar	weapon	h2h	katar.sprite.00.png	1	3
Wrist Sword	h2h2	7wb	weapon	h2h	katar.sprite.00.png	1	3
Scissors Quhab	h2h2	9qr	weapon	h2h	scissors_katar.sprite.00.png	1	3
Scissors Suwayyah	h2h2	7qr	weapon	h2h	scissors_katar.sprite.00.png	1	3
War Hammer	hamm	whm	weapon	hammer	war_hammer.sprite.00.png	2	3
Maul	hamm	mau	weapon	hammer	maul.sprite.00.png	2	4
Great Maul	hamm	gma	weapon	hammer	great_maul.sprite.00.png	2	3
War Club	hamm	9m9	weapon	hammer	maul.sprite.00.png	2	4
Martel de Fer	hamm	9gm	weapon	hammer	great_maul.sprite.00.png	2	3
Ogre Maul	hamm	7m7	weapon	hammer	maul.sprite.00.png	2	4
Thunder Maul	hamm	7gm	weapon	hammer	great_maul.sprite.00.png	2	3
Horadric Malus	hamm	hdm	weapon	hammer	horadric_malus.sprite.00.png	2	3
Hellforge Hammer	hamm	hfh	weapon	hammer	hellforge_hammer.sprite.00.png	2	3
Battle Hammer	hamm	9wh	weapon	hammer	war_hammer.sprite.00.png	2	3
Legendary Mallet	hamm	7wh	weapon	hammer	war_hammer.sprite.00.png	2	3
Preserved Head	head	ne1	armor	voodoo_head	preserved_head.sprite.00.png	2	2
Zombie Head	head	ne2	armor	voodoo_head	zombie_head.sprite.00.png	2	2
Unraveller Head	head	ne3	armor	voodoo_head	unraveller_head.sprite.00.png	2	2
Gargoyle Head	head	ne4	armor	voodoo_head	gargoyle_head.sprite.00.png	2	2
Demon Head	head	ne5	armor	voodoo_head	demon_head.sprite.00.png	2	2
Mummified Trophy	head	ne6	armor	voodoo_head	preserved_head.sprite.00.png	2	2
Fetish Trophy	head	ne7	armor	voodoo_head	zombie_head.sprite.00.png	2	2
Sexton Trophy	head	ne8	armor	voodoo_head	unraveller_head.sprite.00.png	2	2
Cantor Trophy	head	ne9	armor	voodoo_head	gargoyle_head.sprite.00.png	2	2
Heirophant Trophy	head	nea	armor	voodoo_head	demon_head.sprite.00.png	2	2
Minion Skull	head	neb	armor	voodoo_head	preserved_head.sprite.00.png	2	2
Hellspawn Skull	head	neg	armor	voodoo_head	zombie_head.sprite.00.png	2	2
Overseer Skull	head	ned	armor	voodoo_head	unraveller_head.sprite.00.png	2	2
Succubae Skull	head	nee	armor	voodoo_head	gargoyle_head.sprite.00.png	2	2
Bloodlord Skull	head	nef	armor	voodoo_head	demon_head.sprite.00.png	2	2
Cap/hat	helm	cap	armor	helmet	cap_hat.sprite.00.png	2	2
Skull Cap	helm	skp	armor	helmet	skull_cap.sprite.00.png	2	2
Helm	helm	hlm	armor	helmet	helm.sprite.00.png	2	2
Full Helm	helm	fhl	armor	helmet	full_helm.sprite.00.png	2	2
Great Helm	helm	ghm	armor	helmet	great_helm.sprite.00.png	2	2
Crown	helm	crn	armor	helmet	crown.sprite.00.png	2	2
Mask	helm	msk	armor	helmet	mask.sprite.00.png	2	2
Bone Helm	helm	bhm	armor	helmet	bone_helm.sprite.00.png	2	2
War Hat	helm	xap	armor	helmet	cap_hat.sprite.00.png	2	2
Sallet	helm	xkp	armor	helmet	skull_cap.sprite.00.png	2	2
Casque	helm	xlm	armor	helmet	helm.sprite.00.png	2	2
Basinet	helm	xhl	armor	helmet	full_helm.sprite.00.png	2	2
Winged Helm	helm	xhm	armor	helmet	great_helm.sprite.00.png	2	2
Grand Crown	helm	xrn	armor	helmet	crown.sprite.00.png	2	2
Death Mask	helm	xsk	armor	helmet	mask.sprite.00.png	2	2
Grim Helm	helm	xh9	armor	helmet	bone_helm.sprite.00.png	2	2
Shako	helm	uap	armor	helmet	cap_hat.sprite.00.png	2	2
Hydraskull	helm	ukp	armor	helmet	skull_cap.sprite.00.png	2	2
Armet	helm	ulm	armor	helmet	helm.sprite.00.png	2	2
Giant Conch	helm	uhl	armor	helmet	full_helm.sprite.00.png	2	2
Spired Helm	helm	uhm	armor	helmet	great_helm.sprite.00.png	2	2
Corona	helm	urn	armor	helmet	crown.sprite.00.png	2	2
Demonhead	helm	usk	armor	helmet	mask.sprite.00.png	2	2
Bone Visage	helm	uh9	armor	helmet	bone_helm.sprite.00.png	2	2
Spiculum	jave	9gl	weapon	javelin	glaive.sprite.00.png	1	4
Ghost Glaive	jave	7gl	weapon	javelin	glaive.sprite.00.png	1	4
Javelin	jave	jav	weapon	javelin	javelin.sprite.00.png	1	3
Pilum	jave	pil	weapon	javelin	pilum.sprite.00.png	1	3
Short Spear	jave	ssp	weapon	javelin	short_spear.sprite.00.png	1	3
Glaive	jave	glv	weapon	javelin	glaive.sprite.00.png	1	4
Throwing Spear	jave	tsp	weapon	javelin	throwing_spear.sprite.00.png	1	4
War Javelin	jave	9ja	weapon	javelin	javelin.sprite.00.png	1	3
Simbilan	jave	9s9	weapon	javelin	short_spear.sprite.00.png	1	3
Hyperion Javelin	jave	7ja	weapon	javelin	javelin.sprite.00.png	1	3
Balrog Spear	jave	7s7	weapon	javelin	short_spear.sprite.00.png	1	3
Great Pilum	jave	9pi	weapon	javelin	pilum.sprite.00.png	1	3
Harpoon	jave	9ts	weapon	javelin	throwing_spear.sprite.00.png	1	4
Stygian Pilum	jave	7pi	weapon	javelin	pilum.sprite.00.png	1	3
Winged Harpoon	jave	7ts	weapon	javelin	throwing_spear.sprite.00.png	1	4
Dagger	knif	dgr	weapon	knife	dagger.sprite.00.png	1	2
Dirk	knif	dir	weapon	knife	dirk.sprite.00.png	1	2
Kriss	knif	kri	weapon	knife	kriss.sprite.00.png	1	3
Blade	knif	bld	weapon	knife	blade.sprite.00.png	1	3
decoy dagger	knif	d33	weapon	knife	decoy_dagger.sprite.00.png	1	2
Gidbinn	knif	g33	weapon	knife	gidbinn.sprite.00.png	1	2
Poignard	knif	9dg	weapon	knife	dagger.sprite.00.png	1	2
Stilleto	knif	9bl	weapon	knife	dirk.sprite.00.png	1	2
Bone Knife	knif	7dg	weapon	knife	kriss.sprite.00.png	1	3
Legend Spike	knif	7bl	weapon	knife	blade.sprite.00.png	1	3
Rondel	knif	9di	weapon	knife	dagger.sprite.00.png	1	2
Cinquedeas	knif	9kr	weapon	knife	dirk.sprite.00.png	1	2
Mithral Point	knif	7di	weapon	knife	kriss.sprite.00.png	1	3
Fanged Knife	knif	7kr	weapon	knife	blade.sprite.00.png	1	3
Knout	mace	9fl	weapon	mace	flail.sprite.00.png	2	3
KhalimFlail	mace	qf1	weapon	mace	khalim_flail.sprite.00.png	2	3
SuperKhalimFlail	mace	qf2	weapon	mace	super_khalim_flail.sprite.00.png	2	3
Scourge	mace	7fl	weapon	mace	flail.sprite.00.png	2	3
Mace	mace	mac	weapon	mace	mace.sprite.00.png	1	3
Morning Star	mace	mst	weapon	mace	morning_star.sprite.00.png	1	3
Flail	mace	fla	weapon	mace	flail.sprite.00.png	2	3
Flanged Mace	mace	9ma	weapon	mace	mace.sprite.00.png	1	3
Jagged Star	mace	9mt	weapon	mace	morning_star.sprite.00.png	1	3
Reinforced Mace	mace	7ma	weapon	mace	mace.sprite.00.png	1	3
Devil Star	mace	7mt	weapon	mace	morning_star.sprite.00.png	1	3
Eagle Orb	orb	ob1	weapon	orb	eagle_orb.sprite.00.png	1	2
Sacred Globe	orb	ob2	weapon	orb	sacred_globe.sprite.00.png	1	2
Smoked Sphere	orb	ob3	weapon	orb	smoked_sphere.sprite.00.png	1	2
Clasped Orb	orb	ob4	weapon	orb	clasped_orb.sprite.00.png	1	2
Dragon Stone	orb	ob5	weapon	orb	dragon_stone.sprite.00.png	1	3
Glowing Orb	orb	ob6	weapon	orb	eagle_orb.sprite.00.png	1	2
Crystalline Globe	orb	ob7	weapon	orb	sacred_globe.sprite.00.png	1	2
Cloudy Sphere	orb	ob8	weapon	orb	smoked_sphere.sprite.00.png	1	2
Sparkling Ball	orb	ob9	weapon	orb	clasped_orb.sprite.00.png	1	2
Swirling Crystal	orb	oba	weapon	orb	dragon_stone.sprite.00.png	1	3
Heavenly Stone	orb	obb	weapon	orb	eagle_orb.sprite.00.png	1	2
Eldritch Orb	orb	obc	weapon	orb	sacred_globe.sprite.00.png	1	2
Demon Heart	orb	obd	weapon	orb	smoked_sphere.sprite.00.png	1	2
Vortex Orb	orb	obe	weapon	orb	clasped_orb.sprite.00.png	1	2
Dimensional Shard	orb	obf	weapon	orb	dragon_stone.sprite.00.png	1	3
Wolf Head	pelt	dr1	armor	pelt	wolf_head.sprite.00.png	2	2
Hawk Helm	pelt	dr2	armor	pelt	hawk_helm.sprite.00.png	2	2
Antlers	pelt	dr3	armor	pelt	antlers.sprite.00.png	2	2
Falcon Mask	pelt	dr4	armor	pelt	falcon_mask.sprite.00.png	2	2
Spirit Mask	pelt	dr5	armor	pelt	spirit_mask.sprite.00.png	2	2
Alpha Helm	pelt	dr6	armor	pelt	wolf_head.sprite.00.png	2	2
Griffon Headress	pelt	dr7	armor	pelt	hawk_helm.sprite.00.png	2	2
Hunter's Guise	pelt	dr8	armor	pelt	antlers.sprite.00.png	2	2
Sacred Feathers	pelt	dr9	armor	pelt	falcon_mask.sprite.00.png	2	2
Totemic Mask	pelt	dra	armor	pelt	spirit_mask.sprite.00.png	2	2
Blood Spirt	pelt	drb	armor	pelt	wolf_head.sprite.00.png	2	2
Sun Spirit	pelt	drc	armor	pelt	hawk_helm.sprite.00.png	2	2
Earth Spirit	pelt	drd	armor	pelt	antlers.sprite.00.png	2	2
Sky Spirit	pelt	dre	armor	pelt	falcon_mask.sprite.00.png	2	2
Dream Spirit	pelt	drf	armor	pelt	spirit_mask.sprite.00.png	2	2
Jawbone Cap	phlm	ba1	armor	helmet	jawbone_cap.sprite.00.png	2	2
Fanged Helm	phlm	ba2	armor	helmet	fanged_helm.sprite.00.png	2	2
Horned Helm	phlm	ba3	armor	helmet	horned_helm.sprite.00.png	2	2
Assault Helmet	phlm	ba4	armor	helmet	assault_helmet.sprite.00.png	2	2
Avenger Guard	phlm	ba5	armor	helmet	avenger_guard.sprite.00.png	2	2
Jawbone Visor	phlm	ba6	armor	helmet	jawbone_cap.sprite.00.png	2	2
Lion Helm	phlm	ba7	armor	helmet	fanged_helm.sprite.00.png	2	2
Rage Mask	phlm	ba8	armor	helmet	horned_helm.sprite.00.png	2	2
Savage Helmet	phlm	ba9	armor	helmet	assault_helmet.sprite.00.png	2	2
Slayer Guard	phlm	baa	armor	helmet	avenger_guard.sprite.00.png	2	2
Carnage Helm	phlm	bab	armor	helmet	jawbone_cap.sprite.00.png	2	2
Fury Visor	phlm	bac	armor	helmet	fanged_helm.sprite.00.png	2	2
Destroyer Helm	phlm	bad	armor	helmet	horned_helm.sprite.00.png	2	2
Conquerer Crown	phlm	bae	armor	helmet	assault_helmet.sprite.00.png	2	2
Guardian Crown	phlm	baf	armor	helmet	avenger_guard.sprite.00.png	2	2
Bardiche	pole	bar	weapon	polearm	bardiche.sprite.00.png	2	4
Voulge	pole	vou	weapon	polearm	voulge.sprite.00.png	2	4
Poleaxe	pole	pax	weapon	polearm	poleaxe.sprite.00.png	2	4
Halberd	pole	hal	weapon	polearm	halberd.sprite.00.png	2	4
Lochaber Axe	pole	9b7	weapon	polearm	bardiche.sprite.00.png	2	4
Bec-de-Corbin	pole	9h9	weapon	polearm	halberd.sprite.00.png	2	4
Ogre Axe	pole	7o7	weapon	polearm	bardiche.sprite.00.png	2	4
Great Poleaxe	pole	7h7	weapon	polearm	halberd.sprite.00.png	2	4
Bill	pole	9vo	weapon	polearm	voulge.sprite.00.png	2	4
Partizan	pole	9pa	weapon	polearm	poleaxe.sprite.00.png	2	4
Colossus Voulge	pole	7vo	weapon	polearm	voulge.sprite.00.png	2	4
Cryptic Axe	pole	7pa	weapon	polearm	poleaxe.sprite.00.png	2	4
Scythe	sc9	scy	weapon	polearm	scythe.sprite.00.png	2	4
War Scythe	sc9	wsc	weapon	polearm	war_scythe.sprite.00.png	2	4
Battle Scythe	sc9	9s8	weapon	polearm	scythe.sprite.00.png	2	4
Grim Scythe	sc9	9wc	weapon	polearm	war_scythe.sprite.00.png	2	4
Thresher	sc9	7s8	weapon	polearm	scythe.sprite.00.png	2	4
Giant Thresher	sc9	7wc	weapon	polearm	war_scythe.sprite.00.png	2	4
Scepter	scep	scp	weapon	scepter	scepter.sprite.00.png	1	3
Grand Scepter	scep	gsc	weapon	scepter	grand_scepter.sprite.00.png	1	3
War Scepter	scep	wsp	weapon	scepter	war_scepter.sprite.00.png	1	3
Rune Scepter	scep	9sc	weapon	scepter	scepter.sprite.00.png	1	3
Holy Water Sprinkler	scep	9qs	weapon	scepter	grand_scepter.sprite.00.png	1	3
Mighty Scepter	scep	7sc	weapon	scepter	war_scepter.sprite.00.png	1	3
Seraph Rod	scep	7qs	weapon	scepter	scepter.sprite.00.png	1	3
Divine Scepter	scep	9ws	weapon	scepter	grand_scepter.sprite.00.png	1	3
Caduceus	scep	7ws	weapon	scepter	war_scepter.sprite.00.png	1	3
Buckler	shie	buc	armor	shield	buckler.sprite.00.png	2	2
Small Shield	shie	sml	armor	shield	small_shield.sprite.00.png	2	2
Large Shield	shie	lrg	armor	shield	large_shield.sprite.00.png	2	3
Kite Shield	shie	kit	armor	shield	kite_shield.sprite.00.png	2	3
Tower Shield	shie	tow	armor	shield	tower_shield.sprite.00.png	2	3
Gothic Shield	shie	gts	armor	shield	gothic_shield.sprite.00.png	2	4
Bone Shield	shie	bsh	armor	shield	bone_shield.sprite.00.png	2	3
Spiked Shield	shie	spk	armor	shield	spiked_shield.sprite.00.png	2	3
Defender	shie	xuc	armor	shield	buckler.sprite.00.png	2	2
Round Shield	shie	xml	armor	shield	small_shield.sprite.00.png	2	2
Scutum	shie	xrg	armor	shield	large_shield.sprite.00.png	2	3
Dragon Shield	shie	xit	armor	shield	kite_shield.sprite.00.png	2	3
Pavise	shie	xow	armor	shield	tower_shield.sprite.00.png	2	3
Ancient Shield	shie	xts	armor	shield	gothic_shield.sprite.00.png	2	4
Grim Shield	shie	xsh	armor	shield	bone_shield.sprite.00.png	2	3
Barbed Shield	shie	xpk	armor	shield	spiked_shield.sprite.00.png	2	3
Heater	shie	uuc	armor	shield	buckler.sprite.00.png	2	2
Luna	shie	uml	armor	shield	small_shield.sprite.00.png	2	2
Hyperion	shie	urg	armor	shield	large_shield.sprite.00.png	2	3
Monarch	shie	uit	armor	shield	kite_shield.sprite.00.png	2	3
Aegis	shie	uow	armor	shield	tower_shield.sprite.00.png	2	3
Ward	shie	uts	armor	shield	gothic_shield.sprite.00.png	2	4
Troll Nest	shie	ush	armor	shield	bone_shield.sprite.00.png	2	3
Blade Barrier	shie	upk	armor	shield	spiked_shield.sprite.00.png	2	3
War Fork	spea	9br	weapon	spear	brandistock.sprite.00.png	2	4
Mancatcher	spea	7br	weapon	spear	brandistock.sprite.00.png	2	4
Lance	spea	9p9	weapon	spear	pike.sprite.00.png	2	4
War Pike	spea	7p7	weapon	spear	pike.sprite.00.png	2	4
Spear	spea	spr	weapon	spear	spear.sprite.00.png	2	4
Trident	spea	tri	weapon	spear	trident.sprite.00.png	2	4
Brandistock	spea	brn	weapon	spear	brandistock.sprite.00.png	2	4
Spetum	spea	spt	weapon	spear	spetum.sprite.00.png	2	4
Pike	spea	pik	weapon	spear	pike.sprite.00.png	2	4
War Spear	spea	9sr	weapon	spear	spear.sprite.00.png	2	4
